,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
413,"Decatur, AL Metro Area",153478,44463,152445,46725
414,"Decatur, IL Metro Area",110558,46165,107587,49052
415,"Decatur, IN Micro Area",34343,45339,35018,48290
416,"Defiance, OH Micro Area",38975,46377,38311,55295
417,"Del Rio, TX Micro Area",48578,40509,48976,44609
418,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",495581,43419,623675,45016
419,"Deming, NM Micro Area",25162,29365,24319,27602
420,"DeRidder, LA Micro Area",35662,46762,36598,47350
421,"Des Moines-West Des Moines, IA Metro Area",571592,59898,623113,65971
422,"Dickinson, ND Micro Area",25520,58506,30316,77328
423,"Dixon, IL Micro Area",35778,50342,34670,58319
424,"Dodge City, KS Micro Area",33725,50577,34658,49890
425,"Dothan, AL Metro Area",145503,40072,147790,42431
426,"Douglas, GA Micro Area",50921,34545,43048,36572
427,"Dover, DE Metro Area",162785,55786,173145,57647
428,"Dublin, GA Micro Area",58245,35599,57251,35364
429,"DuBois, PA Micro Area",81668,40768,80539,45188
430,"Dubuque, IA Metro Area",93776,50885,96571,59150
431,"Duluth, MN-WI Metro Area",279417,46864,279205,51785
432,"Dumas, TX Micro Area",21765,48489,22016,52469
433,"Duncan, OK Micro Area",44848,44918,44293,44805
434,"Dunn, NC Micro Area",115559,44242,128753,50323
435,"Durango, CO Micro Area",51443,57407,54469,62533
436,"Durant, OK Micro Area",42494,37883,45068,41197
437,"Durham-Chapel Hill, NC Metro Area",506459,52143,550281,57600
438,"Dyersburg, TN Micro Area",38234,38167,37751,44386
439,"Eagle Pass, TX Micro Area",54107,30959,57471,37734
440,"Easton, MD Micro Area",37746,62942,37461,65595
441,"Eau Claire, WI Metro Area",161314,48900,165833,53219
442,"Edwards, CO Micro Area",59222,66695,53726,83803
443,"Effingham, IL Micro Area",34258,51009,34164,54655
444,"El Campo, TX Micro Area",41153,40988,41430,50145
445,"El Centro, CA Metro Area",173487,41255,179957,44779
446,"El Dorado, AR Micro Area",41594,39349,40022,41106
447,"Elizabeth City, NC Micro Area",63930,46438,63388,48112
448,"Elk City, OK Micro Area",22519,51506,22971,49625
449,"Elkhart-Goshen, IN Metro Area",198214,46712,202924,52449
450,"Elko, NV Micro Area",50942,69963,54105,76094
451,"Ellensburg, WA Micro Area",40954,41739,43726,53163
452,"Elmira, NY Metro Area",88779,48128,86883,51251
453,"El Paso, TX Metro Area",801115,39699,838527,43170
454,"Emporia, KS Micro Area",36891,38731,33302,42992
455,"Erie, PA Metro Area",280181,45249,277794,48192
456,"Escanaba, MI Micro Area",37075,42504,36395,44639
457,"Eufaula, AL-GA Micro Area",30011,32029,28341,32796
458,"Eureka-Arcata-Fortuna, CA Micro Area",134317,40830,135490,43718
459,"Evanston, WY Micro Area",20942,59714,20758,54672
460,"Evansville, IN-KY Metro Area",358402,47577,315263,49873
